combinacion,accuracy,precision,recall,f1
"$C^{(1)}_{50,T}$",0.983539,0.98443,0.983484,0.983441
"$C^{(1)}_{100,T}$",0.982167,0.983406,0.983175,0.98289
"$C^{(1)}_{50,T}C^{(2)}_{100,T}$",0.978052,0.978562,0.979054,0.978646
"$C^{(1)}_{50,T}C^{(2)}_{200,T}$",0.978052,0.977233,0.978826,0.977651
"$C^{(1)}_{100,T}C^{(2)}_{50,T}$",0.97668,0.978035,0.977585,0.977586
"$C^{(1)}_{200,T}$",0.97668,0.976172,0.976008,0.97584
"$C^{(1)}_{200,T}C^{(2)}_{100,T}$",0.975309,0.97672,0.976651,0.976305
"$C^{(1)}_{200,S}$",0.975309,0.974905,0.976327,0.975193
"$C^{(1)}_{100,T}C^{(2)}_{200,T}$",0.973937,0.974109,0.973851,0.973576
"$C^{(1)}_{50,R}$",0.972565,0.97528,0.972194,0.972971
"$C^{(1)}_{100,R}$",0.967078,0.968076,0.968674,0.967626
"$C^{(1)}_{200,T}C^{(2)}_{50,T}$",0.967078,0.966691,0.966669,0.966137
"$C^{(1)}_{200,T}C^{(2)}_{50,T}C^{(3)}_{100,T}$",0.964335,0.965055,0.962176,0.963013
"$C^{(1)}_{100,S}$",0.961591,0.962005,0.961936,0.960818
"$C^{(1)}_{200,T}C^{(2)}_{100,T}C^{(3)}_{50,T}$",0.957476,0.956862,0.958208,0.957065
"$C^{(1)}_{100,T}C^{(2)}_{50,T}C^{(3)}_{200,T}$",0.956104,0.955214,0.955633,0.954691
"$C^{(1)}_{50,T}C^{(2)}_{100,T}C^{(3)}_{200,T}$",0.954733,0.958115,0.95681,0.956784
"$C^{(1)}_{100,T}C^{(2)}_{200,T}C^{(3)}_{50,T}$",0.954733,0.955937,0.955171,0.954591
"$C^{(1)}_{50,S}$",0.954733,0.955325,0.954445,0.953042
"$C^{(1)}_{200,S}C^{(2)}_{100,S}$",0.946502,0.955253,0.944359,0.940151
"$C^{(1)}_{50,T}C^{(2)}_{200,T}C^{(3)}_{100,T}$",0.94513,0.945871,0.943323,0.943067
"$C^{(1)}_{200,R}$",0.938272,0.902566,0.93692,0.917259
"$C^{(1)}_{200,S}C^{(2)}_{50,S}$",0.9369,0.949957,0.937016,0.930108
"$C^{(1)}_{100,S}C^{(2)}_{200,S}$",0.932785,0.949512,0.933385,0.91809
"$C^{(1)}_{200,S}C^{(2)}_{50,S}C^{(3)}_{100,S}$",0.931413,0.939621,0.934374,0.928128
"$C^{(1)}_{200,S}C^{(2)}_{100,S}C^{(3)}_{50,S}$",0.91358,0.9315,0.912406,0.901967
"$C^{(1)}_{50,S}C^{(2)}_{200,S}C^{(3)}_{100,S}$",0.910837,0.936667,0.910682,0.898683
"$C^{(1)}_{100,S}C^{(2)}_{50,S}C^{(3)}_{200,S}$",0.910837,0.889914,0.908758,0.893545
"$C^{(1)}_{100,S}C^{(2)}_{50,S}$",0.903978,0.924892,0.905776,0.89321
"$C^{(1)}_{100,S}C^{(2)}_{200,S}C^{(3)}_{50,S}$",0.893004,0.917668,0.894702,0.881463
"$C^{(1)}_{50,S}C^{(2)}_{100,S}$",0.893004,0.878974,0.894247,0.874413
"$C^{(1)}_{50,S}C^{(2)}_{100,S}C^{(3)}_{200,S}$",0.880658,0.82667,0.869268,0.841034
"$C^{(1)}_{50,S}C^{(2)}_{200,S}$",0.81893,0.741649,0.811067,0.75068
"$C^{(1)}_{200,R}C^{(2)}_{50,R}$",0.065844,0.006155,0.072072,0.011093
"$C^{(1)}_{100,R}C^{(2)}_{200,R}C^{(3)}_{50,R}$",0.050754,0.002115,0.041667,0.004025
"$C^{(1)}_{100,R}C^{(2)}_{50,R}C^{(3)}_{200,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{200,R}C^{(2)}_{100,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{200,R}C^{(2)}_{100,R}C^{(3)}_{50,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{200,R}C^{(2)}_{50,R}C^{(3)}_{100,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{50,R}C^{(2)}_{100,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{50,R}C^{(2)}_{200,R}C^{(3)}_{100,R}$",0.039781,0.001658,0.041667,0.003188
"$C^{(1)}_{100,R}C^{(2)}_{200,R}$",0.035665,0.001486,0.041667,0.00287
"$C^{(1)}_{100,R}C^{(2)}_{50,R}$",0.035665,0.001486,0.041667,0.00287
"$C^{(1)}_{50,R}C^{(2)}_{100,R}C^{(3)}_{200,R}$",0.035665,0.001486,0.041667,0.00287
"$C^{(1)}_{50,R}C^{(2)}_{200,R}$",0.035665,0.001486,0.041667,0.00287
